title,description
シエンタの工場装着ドライブレコーダーの録画機能やスペックについて教えていただけますか？,回答要約：工場装着ドライブレコーダーは、常時録画、イベント録画、手動録画、駐車時イベント録画の4種類の映像を記録できます。前方カメラは200万画素、水平108°×垂直46°の画角で、後方カメラは200万画素、水平62°×垂直23°の画角です。録画は内蔵メモリに保存され、ディスプレイオーディオ、パソコン、スマートフォンで再生できます。専用アプリ「My Drive Recorder Viewer」が必要です。
ノアのUSB端子はどのような形状で、どの位置に装着されており、何A対応ですか？,USB端子はType-CとType-Aがあり、最大供給量はDC5V/3AとDC5V/1.5Aです。装着位置はシフト横小物入れ、セカンドシートサイドテーブル、コンソールボックス後部などで、端子の数はグレードによって異なります。
GR86のスピーカーの口径、W数、および取付位置は何ですか？,8スピーカーの場合、フロントドアスピーカーは口径16cm、耐入力最大83Wでフロントドアトリムに取り付けられます。6スピーカーの場合、フロントドアスピーカーは口径16cm、耐入力最大40Wでフロントドアトリムに取り付けられます。2スピーカーの場合、フロントドアスピーカーは口径16cm、耐入力最大40Wでフロントドアトリムに取り付けられます。
ランドクルーザーのスピーカーの口径、W数、および取付位置は何ですか？,スピーカーの口径は、ミッドレンジが8cm、ツィーターが2.5cm、フルレンジが20x23cm（フロントドア）と15cm（リヤドア）、サブウーハーが22.4cmです。耐入力は、定格W数が4W（ミッドレンジ）、1W（ツィーター）、4W（フロントドアフルレンジ）、2W（リヤドアフルレンジ）、8W（サブウーハー）です。取付位置は、インストルメントパネル、Aピラー、リヤドア、フロントドア、リヤクォータートリム、バックドアパネルになります。
植込み型心臓ペースメーカーや植込み型両心室ペーシングパルスジェネレータ、植込み型除細動器を装着している場合、C+podの電波による影響はありますか？,植込み型心臓ペースメーカー、植込み型両心室ペーシングパルスジェネレータ、植込み型除細動器を装着している場合、電波が影響を与える可能性があります。アンテナから約22cm以内に近付かないよう注意し、充電時は操作を他人に任せ、車内に入らないようにしてください。詳細はトヨタ販売店にお問い合わせください。
ヤリスクロスの4WD（E-Four）システムはどのような特徴があり、トルク配分はどのようになっていますか？,4WD（E-Four）は、ガソリン車ではダイナミックトルクコントロール4WDと呼ばれ、トルク配分は自動でフロント100：リヤ0～フロント50：リヤ50の間で変動します。ハイブリッド車ではE-Four（電気式4WDシステム）と呼ばれ、発進時はフロント80：リヤ20で、坂路検知時に最大40：60までトルクが上がりますが、70km/h以上では前輪駆動になります。
プリウスの充電コネクターが抜けない場合、どのような方法で解除できますか？また、充電コネクターのロック/アンロックの仕組みを教えてください。,回答要約：充電コネクターは接続時に自動的にロックされ、ドア解錠時にアンロックされます。アンロック後、ロック解除ボタンを押し、レバーが上がるのを確認してからコネクターを引いてください。ドアが解錠されていてもコネクターがロックされている場合は、再度ドアの解錠操作を行ってください。
プリウスの充電ケーブルの長さ、太さ、重量、およびコントロールユニットの重量と寸法は何ですか？,充電ケーブルは標準で7.5m、オプションで15mがあり、重量はそれぞれ2.8kgと4.5kgです。コントロールユニットのサイズは縦260mm、厚み55mm、横幅88mmで、重量は約1kgです。フック設置時は3～4kg荷重に耐えられるものを推奨します。
プリウスのEV走行距離を伸ばすためのコツは何ですか？,EV走行距離を伸ばすコツは、EVモードとHVモードの効果的な使い分け、エコドライブモードの利用、ハイブリッドシステムインジケーターの活用、シフトポジションの適切な変更、アクセルペダル・ブレーキベダルのスムーズな操作、減速時のブレーキ操作、渋滞回避、高速道路での運転方法、エアコンの適切な使用、タイヤ空気圧の点検、荷物の軽量化、暖機運転の不要性です。
プリウスの電波は、植込み型心臓ペースメーカーや植込み型両心室ペーシングパルスジェネレータ、植込み型除細動器に影響を与える可能性がありますか？,植込み型心臓ペースメーカー、植込み型両心室ペーシングパルスジェネレータ、植込み型除細動器を装着している方は、スマートシステムのアンテナから約22cm以内に近付かないようにし、充電操作は他の人にお願いし、充電中は車内に入らないでください。電波や充電により、これらの装置の動作に影響がある可能性があります。
シエンタのシート座面の幅と奥行き寸法はどれくらいですか？,運転席と助手席のシート座面の幅は510mm、奥行きは485mmです。ターンチルトシートの場合、座面の幅は505mm、奥行きは480mmです。後席1列の座面の幅は500mm、中央席は460mmまたは495mmです。後席2列の座面の幅は455mm、奥行きは410mmです。これらの数値は参考値であり、車両の状態や測定方法によって異なる場合があります。
シエンタのシートのヒップポイントまでの高さは、地面からどれくらいですか？,地面からシートのヒップポイントまでの高さは、運転席で2WDの場合約625mm、E-Fourの場合約645mmです。助手席では、2WDの場合約625mm、E-Fourの場合約645mmです。後席1列目と2列目の高さも記載されていますが、詳細は表を参照してください。これらの数値は空車状態での目安です。
プリウスのシートのヒップポイントまでの高さは、地面からどれくらいですか？,地面からシートのヒップポイントまでの高さは、運転席で約490mm、助手席で約490mm、リヤシート左右席で約520mm、リヤシート中央席で約540mmです。ただし、これらの数値は空車状態での目安であり、燃料量や乗車人数、荷物の重さなどによって異なります。また、運転席シートは高さ調整可能です。
プリウスのドライブレコーダー（前後方）の録画機能について詳しく教えていただけますか？,ドライブレコーダーは、常時録画、イベント録画、手動録画、駐車時イベント録画の4種類の映像を記録できます。前方カメラはウインドシールドガラス上部中央、後方カメラはバックドアガーニッシュ部に位置し、それぞれ200万画素で録画します。録画は内蔵メモリに保存され、ディスプレイオーディオ、パソコン、スマートフォンで再生できます。
プリウスの各ガラスの紫外線カット率はどのくらいですか？,フロントウインドシールドガラスの紫外線カット率は99%以上、クォーターガラスとドアガラスは85%以上、リヤドアガラス、クォーターガラス、バックガラスは85%以上、パノラマルーフは99%以上です。
GRカローラのスピーカーの口径、W数、および取り付け位置は何ですか？,スピーカーの口径は、8cmスコーカー、2.5cmツィーター、17cmウーハー、15cmフルレンジ、16cmフルレンジがあります。耐入力は、定格W数と最大W数がそれぞれ異なります。取付位置は、インパネサイド、Aピラー、フロントドア、リヤドアに搭載されています。
GRカローラのドライブレコーダー（前方）とバックガイドモニター（録画機能付）の録画機能について詳しく教えていただけますか？,ドライブレコーダーとバックガイドモニターは、常時録画、イベント録画、手動録画の3種類の映像を記録できます。前方カメラは207万画素、後方カメラは90万画素で、内蔵メモリに記録されます。再生方法はディスプレイオーディオ、パソコン、スマートフォン（専用アプリ）が利用できます。
RAV4のシート座面から天井までの高さ（ヘッドクリアランス）はどれくらいですか？,"ヘッドクリアランスは、運転席で910-970mm、助手席で910-970mm、リヤシート左右席で985-1,030mm、中央席で930-970mmです。ただし、これらの数値は参考値であり、車両の状態や測定方法によって異なります。"
植込み型心臓ペースメーカーや植込み型両心室ペーシングパルスジェネレータ、植込み型除細動器を装着している場合、RAV4の電波は影響を与える可能性がありますか？,植込み型心臓ペースメーカー、植込み型両心室ペーシングパルスジェネレータ、植込み型除細動器を装着している方は、スマートシステムアンテナから約22cm以内に近付かないよう注意してください。電波がこれらの機器の作動に影響を与える可能性があります。また、プラグインハイブリッド車の充電操作は他の人にお願いし、充電器やケーブルに近付かないようにしてください。充電中は車内にとどまらず、車内に入り込まないでください。
RAV4の工場装着フロント・リヤバンパーとリヤスポイラーの材質は何で、地面からの寸法はどれくらいですか？,フロントバンパーとリヤバンパーの材質はポリプロピレン系の樹脂で、フロントバンパーロアモールとリヤルーフスポイラーはABS系の樹脂です。リヤサイドスポイラーはアドベンチャーのガソリン車はASA樹脂、それ以外はABS系の樹脂です。地面からの最小寸法は、フロントバンパーが240-245mm、リヤバンパーが310-315mm、リヤスキッドプレートが380-385mmです。これらの数値は空車状態の目安です。
RAV4のデジタルインナーミラーには前後方録画機能が付いていますが、どのような機能が含まれていますか？,デジタルインナーミラーの録画機能は、常時録画、衝撃検知録画、手動録画、静止画記録の4種類があります。前方カメラは120万画素、後方カメラは50万画素で、記録先はmicroSDカードです。録画時間は常時録画が最大約230分、衝撃検知録画と手動録画は約20秒（前方：約12秒、後方：約8秒）、静止画記録は500枚です。再生方法はパソコンやスマートフォンでmicroSDカードを使用します。
カローラスポーツのドライブレコーダー（前方）とバックガイドモニター（録画機能付）の録画機能についてどのような特徴がありますか？,ドライブレコーダーとバックガイドモニターの録画機能では、「常時録画」、「イベント録画」、「手動録画」の3種類の映像が記録できます。前方カメラは約207万画素、後方カメラは約90万画素で録画され、内蔵メモリに記録されます。再生方法はディスプレイオーディオ、パソコン、スマートフォンが利用可能です。
植込み型心臓ペースメーカーや植込み型両心室ペーシングパルスジェネレータ、植込み型除細動器を装着している場合、カローラツーリングに電波は影響を与えますか？,植込み型心臓ペースメーカー等を装着している場合、アンテナから約22cm以内に近付かないよう注意してください。影響を受ける可能性があります。医療用電気機器の影響については、製造業者に確認してください。
植込み型心臓ペースメーカーや植込み型両心室ペーシングパルスジェネレータ、植込み型除細動器を装着している場合、カローラの電波は影響を与えますか？,植込み型心臓ペースメーカー等を装着している場合、アンテナから約22cm以内に近付かないよう注意してください。電波が影響を与える可能性があります。医療用電気機器の影響については、製造業者に確認してください。
カローラツーリングのドライブレコーダー（前方）とバックガイドモニター（録画機能付）の録画機能について詳しく教えていただけますか？,ドライブレコーダーとバックガイドモニターは、常時録画、イベント録画、手動録画の3種類の映像を記録できます。前方カメラは約207万画素、後方カメラは約90万画素で、録画は内蔵メモリに保存されます。再生方法はディスプレイオーディオ、パソコン、スマートフォンが利用可能です。
カローラのスピーカーの口径、W数、および取り付け位置は何ですか？,スピーカーの口径はフロントツィーターが2.5cm、フロントスピーカーとリヤスピーカーが16cmです。耐入力は定格20W、最大40Wです。取付位置はフロントツィーターがインパネアッパー、フロントスピーカーがフロントドアトリム、リヤスピーカーがリヤドアトリムです。
カローラのドライブレコーダー（前方）とバックガイドモニター（録画機能付）の録画機能について詳しく教えていただけますか？,録画機能は「常時録画」、「イベント録画」、「手動録画」の3種類があります。前方カメラは約207万画素（1920×1080）、後方カメラは約90万画素（1280×720）で録画され、内蔵メモリに記録されます。再生方法はディスプレイオーディオ、パソコン、スマートフォンが利用可能です。
RAV4のアクセサリーコンセント（AC100V・1500W）での給電可能時間はどれくらいですか？,ハイブリッド車では、400W消費時に約6.5日の給電が可能です。プラグインハイブリッド車では、EV給電モードで1500W出力時に約7時間、400W出力時に約20時間、HV給電モードで1500W出力時に約3日、400W出力時に約5日の給電が可能です。ただし、これらの時間は目安であり、使用条件によって異なります。
RAV4のシートのヒップポイントまでの高さは、地面からどれくらいですか？,地面からシートのヒップポイントまでの高さは、運転席で約695mm～705mm、助手席で約695mm～705mm、リヤシートで約700mm～730mmです。ただし、これらの数値は空車状態での目安であり、燃料量や乗車人数、荷物の重さなどによって異なります。また、運転席シートは高さ調整可能です。
RAV4の各ガラスの紫外線カット率はどのくらいですか？,紫外線カット率は、フロントウインドシールドガラスで99%以上、フィックスガラスとドアガラスで85%以上、リヤドアガラス、フィックスガラス、クォーターガラス、バックドアガラス、パノラマムーンルーフ、チルト&スライド電動ムーンルーフで90%以上です。ただし、これらの数値は社内測定値であり、ばらつきがある場合があります。
RAV4のパノラマムーンルーフとチルト＆スライド電動ムーンルーフの開口寸法は何ですか？,パノラマムーンルーフの開口寸法は、長さが約280mm（全開時）、幅が約700mmです。チルト＆スライド電動ムーンルーフの開口寸法は、長さが約355mm（オート全開時）、幅が約710mmです。
RAV4のシャークフィンアンテナを含む高さと、バックドア全開時の最大高さは何ですか？,"シャークフィンアンテナ部分の最大高さは1,685mmから1,695mm、バックドア全開時の最大高さは外側で2,115mmから2,165mm、内側で1,845mmから1,920mmです。これらの数値は空車状態での目安です。"
ハリアーの工場装着充電ケーブルの長さ、太さ、重量、およびコントロールユニットの重量と寸法は何ですか？,回答要約：標準装備の充電ケーブルは長さ7.5m、重量2.8kgで、メーカーオプションで15mのものも選択可能。コントロールユニットのサイズは縦260mm、厚み55mm、横幅88mmで、重量は約1kg（ケーブル含む）。フック設置時は3～4kg荷重に耐えられるものを推奨。
ハリアーのプラグインハイブリッドシステムを使用して、EV走行距離を最大限に伸ばす方法は何ですか？,EV走行距離を伸ばすコツは、EVモードとHVモードの効果的な使い分け、エコドライブモードの利用、ハイブリッドシステムインジケーターの活用、シフトポジションの適切な変更、アクセルペダル・ブレーキベダルのスムーズな操作、減速時のブレーキ操作、渋滞回避、高速道路での運転方法、エアコンの適切な使用、タイヤ空気圧の点検、荷物の軽量化、そして走行前の暖機運転が不要であることを理解することです。これらのコツを実践することで、電気や燃料の節約につながり、走行距離を伸ばすことができます。
ハリアーのスピーカーの口径、W数、および取付位置は何ですか？,9スピーカーの場合、口径は8cm、2.5cm、17cm、15cm、22.4cmで、最大W数は35W、40W、40W、40W、40Wです。取付位置はインストルメントパネル、フロントピラートリム、フロントドアトリム、リヤドアトリム、デッキサイドトリムです。6スピーカーの場合、口径は2.5cm、16cm、16cmで、最大W数は35W、40W、40Wです。取付位置はインストルメントパネル、フロントドアトリム、リヤドアトリムです。
ハリアーのシートのヒップポイントまでの高さは、地面からどれくらいですか？,地面からシートのヒップポイントまでの高さは約700mmです。ただし、運転席シートは高さ調整可能で、上下調整量は60mmです。数値は空車状態の目安です。
ヤリスの自動防眩インナーミラー（ドライブレコーダー付）の録画機能について詳しく教えていただけますか？,自動防眩インナーミラーの録画機能は、常時録画、衝撃検知録画、手動録画、駐車時録画の4種類があります。前方カメラは200万画素、後方カメラは130万画素で、録画データはmicroSDカードに保存されます。再生方法はPC、スマートフォン、または専用アプリ「TOYOTA SMART VIEWER」を使用します。
クラウンのドライブレコーダーは、前後方または前方の録画機能がありますか？,ドライブレコーダーは、常時録画、イベント録画、手動録画、駐車時イベント録画の4種類の映像を記録できます。前後方カメラは、前方がウインドシールド上部中央、後方がバックドアガーニッシュ部に位置し、前後とも200万画素で録画されます。録画は内蔵メモリに保存され、ディスプレイオーディオ、PC、スマートフォンで再生できます。専用アプリ「My Drive Recorder Viewer」が必要です。
クラウンのスピーカーの口径、W数、および取り付け位置は何ですか？,スピーカーの口径は、9cmスコーカー、2.5cmツィーター、18cmドアスピーカー、16cmドアスピーカー、25cmサブウーハーがあります。耐入力は、定格が10-40W、最大が20-80Wです。取付位置は、インストルメントパネルセンター、インストルメントパネルサイド、フロントドアトリム、リアドアトリム、アッパーバックになります。
ヤリスクロスの自動防眩インナーミラー（ドライブレコーダー付）の録画機能について詳しく教えていただけますか？,自動防眩インナーミラーの録画機能は、常時録画、衝撃検知録画、手動録画、駐車時録画の4種類があります。前方カメラは200万画素、後方カメラは130万画素で、録画データはmicroSDカードに保存されます。再生にはPCやスマートフォン、専用アプリ「TOYOTA SMART VIEWER」が必要です。
ヤリスクロスのシートのヒップポイントまでの高さは、地面からどれくらいですか？,運転席の地面からシートのヒップポイントまでの高さは約615mm、GR SPORT専用スポーティシートは約610mm、リヤシートは2WDの場合約650mm（左右席）および約660mm（中央席）、4WDの場合約645mm（左右席）および約655mm（中央席）です。これらの数値は空車状態での目安です。
クラウンのシートのヒップポイントまでの高さは、地面からどれくらいですか？,地面からシートのヒップポイントまでの高さは、運転席で約634mm、リヤシートの右・左側席で約621mm、中央席で約686mmです。ただし、これらの数値は空車状態での目安であり、燃料量や乗車人数、荷物の重さなどによって異なります。運転席シートは高さ調整可能で、上下調整量は60mmです。
クラウンのボディカラーには、耐酸性雨向上塗料や耐スリ傷性向上塗料が使用されていますか？,各ボディカラーには耐酸性雨向上塗料と耐スリ傷性向上塗料が使用されていますが、樹脂系部品には使用されていません。また、自己修復性耐スリ傷塗料も一部のカラーに使用されています。詳細は販売店にお問い合わせください。
bZ4Xの走行距離を伸ばすためのコツは何ですか？,走行距離を伸ばすコツは、エコドライブモードの利用、シフトポジションの変更、スムーズなアクセル・ブレーキ操作、渋滞回避、一定速度での高速道路走行、エアコンの適切な使用、タイヤ空気圧の点検、荷物の軽量化です。
bz４xには、植込み型心臓ペースメーカー、植込み型両心室ペーシングパルスジェネレータ、植込み型除細動器を装着している時、電波の影響を与える可能性はありますか？,ペースメーカーや除細動器を装着している方は、充電や給電時に操作を他人に任せ、充電器や給電器に近づかないよう注意してください。また、スマートエントリー＆スタートシステムのアンテナから約22cm以内に近づかないようにし、医療用電気機器の影響については製造業者に確認してください。電波がペースメーカーや除細動器の動作に影響を与える可能性があります。
bZ4Xの充電コネクターが抜けない場合、どのような手順でロック/アンロックの仕組みを解除できますか？,充電コネクターは接続時に自動的にロックされ、ドア解錠時にアンロックされます。アンロック後、ロック解除ボタンを押し、レバーが上がったことを確認してからコネクターを引いてください。ドアが解錠されていてもコネクターがロックされている場合は、再度ドアの解錠操作を行ってください。
ヴォクシーのスピーカーの口径、ワット数、および取り付け位置は何ですか？,スピーカーの口径は16cm、耐入力は定格20W、最大40Wです。取付位置はフロントドアトリム、スライドドアトリム、インストルメントパネル、天井に搭載されています。
ヴォクシーの4WDシステムはどのような種類で、トルク配分はどのようになっていますか？,ガソリン車の4WDはダイナミックトルクコントロール4WDで、トルク配分はフロント100：リヤ0～フロント50：リヤ50の間で自動的に分配されます。ハイブリッド車の4WDはE-Fourで、発進時はフロント60：リヤ40で分配し、最大フロント20：リヤ80まで変化します。どちらも状況に応じて2WDから4WDまで自動的に制御され、燃費性能と安定性が向上します。
ヴォクシーのシートのヒップポイントまでの高さは、地面からどれくらいですか？,運転席の地面からシートのヒップポイントまでの高さは、2WDの場合約770mm、4WD/E-Fourの場合約800mmです。運転席シートは高さ調整可能で、上下調整量は58mmです。
ヴォクシーの各ガラスの紫外線カット率はどれくらいですか？,フロントウインドシールドガラスの紫外線カット率は99％、クォーターガラスは85％以上、ドアガラスは85％以上（S-Zは99％）、リヤスライドドアガラスは95％以上、リヤクォーターガラスは90％以上、バックドアガラスは95％以上です。
ノアの4WDシステムはどのような種類で、トルク配分はどのようになっていますか？,4WDにはガソリン車用のダイナミックトルクコントロール4WDとハイブリッド車用のE-Fourがあります。ガソリン車ではトルク配分がフロント100：リヤ0～フロント50：リヤ50の間で自動的に分配され、ハイブリッド車では発進時にフロント60：リヤ40で分配し、最大フロント20：リヤ80まで変化します。
ノアのスピーカーの口径、ワット数、および取り付け位置は何ですか？,スピーカーの口径は16cm、耐入力は定格20W、最大40Wです。取付位置はフロントドアトリムとスライドドアトリムにあります。
ノアのシートのヒップポイントまでの高さは、地面からどれくらいですか？,運転席の地面からシートのヒップポイントまでの高さは、2WDの場合約770mm、4WD/E-Fourの場合約800mmです。運転席シートは高さ調整可能で、上下調整量は58mmです。他の座席の高さも表に記載されています。これらの数値は空車状態での目安です。
ノアの工場装着フロント・リヤバンパーの材質と地面からの寸法は何ですか？,フロント・リヤバンパーの材質はポリプロピレン系の樹脂です。地面からの寸法は、フロントバンパーが2WDで170-180mm、4WDで195-205mm、リヤバンパーが2WDで205-215mm、4WDで240-245mmです。これらの数値は空車状態の目安です。
ノアの各ガラスの紫外線カット率はどれくらいですか？,フロントウインドシールドガラスの紫外線カット率は99％、クォーターガラスは85％以上、ドアガラスはS-Z、Zで99％、上記以外で85％以上、リヤスライドドアガラスは95％以上、クォーターガラスは90％以上、バックドアガラスは95％以上です。
C-HRの各ガラスの紫外線カット率はどれくらいですか？,フロントウインドシールドガラスの紫外線カット率は99％、フィックスウィンドウガラスは90％以上、ドアガラスは90％以上（G、G-Tは99％）、リヤドアガラス、クォータウィンドウガラス、バックドアガラスはいずれも90％以上です。ただし、これらの数値は社内測定値であり、ばらつきがある場合があります。
植込み型心臓ペースメーカーや植込み型両心室ペーシングパルスジェネレータ、植込み型除細動器を装着している場合、カローラクロスの電波は影響を与えますか？,植込み型心臓ペースメーカー等を装着している場合、電波が影響を与える可能性があるため、アンテナから約22cm以内に近付かないよう注意してください。また、医療用電気機器の影響については、製造業者に事前に確認してください。
ランドクルーザーに使用されるAdBlue（アドブルー）尿素水について詳しく説明していただけますか？,"AdBlue（アドブルー）は、約1,000km走行すると1L消費され、尿素水の残量が少なくなると警告灯やメッセージが表示されます。市販品の尿素水も使用可能で、自分で補充できますが、注意点があるため取扱書を確認してください。尿素水の凍結温度は約マイナス11℃で、凍結しても走行は可能です。尿素水のポンプにはヒーティング機能が設定されており、凍結した尿素水を解凍できます。"
ランドクルーザーのシートのヒップポイントまでの高さは、地面からどれくらいですか？,地面からシートヒップポイントまでの高さは、フロントシートで約880mm、セカンドシートで約925mm、サードシートで約1000mmです。ただし、運転席と助手席のパワーシートは高さ調整可能で、上下調整量は60mmです。これらの数値は空車状態での目安です。
アクアを運転する際、植込み型心臓ペースメーカーや植込み型両心室ペーシングパルスジェネレータ、植込み型除細動器を装着している場合、電波の影響はありますか？,植込み型心臓ペースメーカー、植込み型両心室ペーシングパルスジェネレータ、植込み型除細動器を装着している場合、電波が影響を与える可能性があるため、アンテナから約22cm以内に近付かないよう注意してください。影響を受ける可能性があるアンテナは、スマートシステムとプッシュボタンスタートシステムのものです。詳細はトヨタ販売店にお問い合わせください。また、他の医療用電気機器を使用している方は、製造業者に電波の影響を確認してください。
パッソの各ガラスの紫外線カット率はどれくらいですか？,紫外線カット率は、フロントウインドシールドガラスが99％、ドアガラスが85％以上～99％、リヤドアガラス・クォーターガラスが90％以上～99％、バックドアガラスが90％以上です。
パッソのシートのヒップポイントまでの高さは、地面からどれくらいですか？,運転席の地面からシートヒップポイントまでの高さは約590mm、リヤシートは約630-640mmです。ただし、これらの数値は空車状態での目安であり、燃料量や乗車人数、荷物の重さなどによって異なります。運転席シートは高さ調整可能です。
